Buchungstag,Valuta,Bezeichnung,ISIN,Nominal (Stk.),,Betrag,,Kurs,,Devisenkurs,TA.-Nr.,Buchungsinformation
17.01.2024,17.01.2024,ISHARES CORE S&P 500 ETF,IE00B5BMR087,-40,Stück,-13440.12,€,336.00,€,1.00,3569368294,Thesaurierung transparenter Fonds IE00B5BMR087
17.01.2024,17.01.2024,ISHARES CORE S&P 500 ETF,IE00B5BMR087,-33,Stück,-11088.10,€,336.00,€,1.00,3569368295,Thesaurierung transparenter Fonds IE00B5BMR087
17.01.2024,17.01.2024,ISHARES CORE S&P 500 ETF,IE00B5BMR087,-24,Stück,-8064.07,€,336.00,€,1.00,3569368296,Thesaurierung transparenter Fonds IE00B5BMR087
17.01.2024,17.01.2024,ISHARES CORE S&P 500 ETF,IE00B5BMR087,40,Stück,13900.17,€,347.50,€,1.00,3569368297,Thesaurierung transparenter Fonds IE00B5BMR087
17.01.2024,17.01.2024,ISHARES CORE S&P 500 ETF,IE00B5BMR087,33,Stück,11467.64,€,347.50,€,1.00,3569368298,Thesaurierung transparenter Fonds IE00B5BMR087
17.01.2024,17.01.2024,ISHARES CORE S&P 500 ETF,IE00B5BMR087,24,Stück,8340.11,€,347.50,€,1.00,3569368299,Thesaurierung transparenter Fonds IE00B5BMR087
07.05.2024,07.05.2024,ISHARES S&P 500 INFO TECH SECT ETF,IE00B3WJKG14,-26,Stück,-304.08,€,11.70,€,1.00,3722382747,Thesaurierung transparenter Fonds IE00B3WJKG14
07.05.2024,07.05.2024,ISHARES S&P 500 INFO TECH SECT ETF,IE00B3WJKG14,-42,Stück,-491.21,€,11.70,€,1.00,3722382748,Thesaurierung transparenter Fonds IE00B3WJKG14
07.05.2024,07.05.2024,ISHARES S&P 500 INFO TECH SECT ETF,IE00B3WJKG14,-23,Stück,-269.00,€,11.70,€,1.00,3722382749,Thesaurierung transparenter Fonds IE00B3WJKG14
07.05.2024,07.05.2024,ISHARES S&P 500 INFO TECH SECT ETF,IE00B3WJKG14,-289,Stück,-3380.00,€,11.70,€,1.00,3722382750,Thesaurierung transparenter Fonds IE00B3WJKG14
07.05.2024,07.05.2024,ISHARES S&P 500 INFO TECH SECT ETF,IE00B3WJKG14,-300,Stück,-3508.65,€,11.70,€,1.00,3722382751,Thesaurierung transparenter Fonds IE00B3WJKG14
